"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*04mn5*","Alec Bohm","PHI","1B,3B","159","ROLLS","27","ATL Thu 12:05PM","23.00","2026","387.5","2.6","100%","140.29","95%"
"*01cfr*","Carlos Santana","(N/A)","1B","160","NASER","37","","25.00","2025","386.5","2.65","95%","341.5","65%"
"*02n2x*","Paul Sewald","ARI","RP","161","MURPH","33","COL Thu 1:00AM","31.00","2026","386.5","6.34","100%","179.45","94%"
"*02n96*","Josh Hader","(N/A)","RP","162","ALEC","29","","19.00","2025","386","6.43","100%","103.84","94%"
"*02bxv*","Jon Gray","TEX","SP","163","TONY","32","CHC Thu 4:35PM","39.00","2027","383","13.21","96%","250.87","90%"
"*04eek*","Griffin Canning","LAA","SP","164","FA","27","@BAL Thu 12:05PM","11.00","2023","381","13.61","95%","257.77","85%"
"*05184*","Vinnie Pasquantino","KC","1B","165","CA$H","26","MIN Thu 1:10PM","14.00","2026","379.5","2.79","100%","162.53","95%"
"*04eld*","J.P. Sears","OAK","SP","166","FA","27","CLE Thu 7:07PM","11.00","2023","379","11.84","93%","314.83","79%"
"*02yh5*","Amed Rosario","(N/A)","2B,SS","167","CA$H","28","","41.00","2027","378","2.57","98%","323.67","71%"
"*01uca*","Chris Sale","BOS","SP","168","JOEY","34","@SEA Thu 7:10PM","14.00","2024","378","14.54","100%","168.79","95%"
"*04si2*","Andrew Vaughn","CHW","1B,OF","169","JOEY","25","DET Thu 1:10PM","45.00","2028","378","2.47","100%","231.54","96%"
"*03pov*","Brady Singer","KC","SP","170","KYLE","27","MIN Thu 1:10PM","23.00","2026","377.5","12.58","93%","358.08","78%"
"*02i11*","Jorge Soler","(N/A)","OF,UT","171","ALEC","31","","24.00","2025","377","2.77","100%","136.19","94%"
"*04esz*","Chas McCormick","HOU","OF","172","FA","28","NYY Thu 1:00AM","11.00","2023","376.5","2.75","100%","149.37","95%"
"*051bm*","Louie Varland","MIN","SP","173","FA","26","@KC Thu 1:10PM","11.00","2023","376","14.46","87%","371.81","72%"
"*03et8*","Ranger Suarez","PHI","SP","174","HENRY","28","ATL Thu 12:05PM","41.00","2028","375.5","13.41","98%","279.73","86%"
"*02i2q*","Carlos Correa","MIN","SS","175","CA$H","29","@KC Thu 1:10PM","29.00","2026","375","2.72","99%","216.1","94%"
"*05ub0*","Zack Gelof","OAK","2B,SS","176","MDS","24","CLE Thu 7:07PM","11.00","2026","375","2.76","100%","128.02","95%"
"*04ml0*","Yusei Kikuchi","TOR","RP","177","FA","32","@TB Thu 1:10PM","11.00","2023","375","12.5","100%","231.41","93%"
"*03zlh*","Oneil Cruz","PIT","SS","178","ROLLS","25","@MIA Thu 1:10PM","72.00","2030","374.5","2.86","100%","69.15","96%"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","179","KYLE","30","COL Thu 1:00AM","29.00","2026","374","2.71","100%","232.57","93%"
"*02jh6*","Eugenio Suarez","ARI","3B","180","MDS","32","COL Thu 1:00AM","53.00","2026","373","2.38","99%","212","90%"
"*04aqc*","David Bednar","PIT","RP","181","LANG","29","@MIA Thu 1:10PM","32.00","2027","372.5","6.54","100%","135.55","96%"
"*041sq*","Tommy Edman","STL","2B,SS,OF","182","ROLLS","28","@LAD Thu 1:10PM","21.00","2025","372.5","2.68","100%","189.24","96%"
"*02hjk*","Whit Merrifield","(N/A)","2B,OF","183","JENKS","34","","18.00","2025","371.5","2.63","98%","260.21","89%"
"*0403o*","Andres Munoz","SEA","RP","184","LANG","24","BOS Thu 7:10PM","11.00","2026","371.5","6.41","100%","200.18","95%"
"*04t40*","Brayan Bello","BOS","SP","185","TED","24","@SEA Thu 7:10PM","11.00","2025","371","12.37","100%","195.57","96%"
"*041wv*","Michael King","SD","RP","186","FA","28","SF Thu 1:10PM","11.00","2023","371","14.27","100%","158.94","96%"
"*05xu5*","Zach Neto","LAA","SS","187","TED","22","@BAL Thu 12:05PM","15.00","2027","371","2.63","97%","267.96","88%"
"*0317o*","Jeff McNeil","NYM","2B,OF","188","CA$H","31","MIL Thu 10:10AM","18.00","2025","370","2.5","100%","316.9","89%"
"*03et7*","Joey Meneses","WSH","1B","189","FA","31","@CIN Thu 1:10PM","11.00","2023","369","2.41","95%","329.24","74%"
"*04my4*","Cal Raleigh","SEA","C","190","KYLE","27","BOS Thu 7:10PM","24.00","2026","368.5","2.54","100%","148.71","94%"
